"H1"||"H"||1||0|||30|||30||0|0|0|0|0|0|100|100|100|100|100|100|95|97.5|100|85|92.5|100||15|||1|||2|||4|||4|||4|||54||||||||28|31|35||||3|4.5|6||||1.2|1.4|1.6|||||1.46|||4.23|9.17|14.11|0.21|0.22|0.23|||||34.5|||22.9|||43||0|1.5|2.9|35|45|55|10|20|30|8|20|34|".24"|".24"|0|0|0|0|0|0|0|0|0|0|0|0|17|22.5|28||||13|19|25|6.6|7|7.3||||||||||2.9|4.8|7.1|||||||||||||||||||||"22552914"|"66692837"
"H2"||"H"||2||30|||97|||67||0|0|0|0|0|0|100|100|100|100|100|100|95|97.5|100|90|95|100||12|||1|||1|||2|||5|||3|||55||||||||28|33|35||||0.5|1.25|2||||1.4|1.5|1.6|||||1.71|||4.23|9.17|14.11|0.18|0.19|0.2|||||33.7|||21.4|||41||3|4.5|5.9|40|52.5|65|20|30|40|18|31|46|".32"|".32"|0|0|0|0|0|0|0|0|0|0|0|0|12|18.5|25||||9|16|22|6.6|7|7.3||||||||||1.4|3.3|5.3|||||||||||||||||||||"22552914"|"66692838"
"H3"||"H"||3||97|||122|||25||0|0|0|0|0|0|95|97.5|100|95|97.5|100|85|92.5|100|60|77.5|95||35|||2|||4|||8|||12|||9|||47||||||||8|18|25||||0.5|0.75|1||||1.5|1.6|1.7|||||1.67|||4.23|9.17|14.11|0.17|0.18|0.19|||||27.6|||12.4|||37||0|1.5|2.9|20|30|40|0|10|20|0|6|20|".43"|".43"|0|15|30|0|0|0|0|0|0|0|0|0|4|10.5|17||||4|9|15|7.4|7.6|7.8||||||||||0|0.5|1.9|||||||||||||||||||||"22552914"|"66692839"
"H4"||"H"||4||122|||152|||30||0|0|0|0|0|0|90|95|100|85|92.5|100|55|77.5|100|0|37.5|75||60|||2|||5|||20|||25|||8|||30||||||||3|10|18||||0.5|0.75|1||||1.5|1.6|1.7|||||1.68|||4.23|9.17|14.11|0.08|0.11|0.13||16.8|||14|||7.8|||36||0|1.5|2.9|0|20|40|0|7.5|15|0|0|11|".32"|".32"|10|20|30|0|0|0|0|0|0|0|0|0|1|6.5|12||||1|6|11|7.9|8.2|8.4||||||||||0|0|0|||||||||||||||||||||"22552914"|"66692840"
"Ap"||"A"|||0|0|0|5|15|24|5|15|24|0|0|0|0|0|0|100|100|100|100|100|100|90|95|100|75|87|90|9|15|37|0|0|3|0|2|5|0|4|10|2|5|10|2|4|8|50|66|78|21|22|26|29|44|52|13|19|25|0|0|0|1|1.2|3||||1.3|1.45|1.6||||1.37|1.52|1.67|2.65|4.23|9.17|14.11|0.2|0.22|0.24||||24.8|28|32|8.9|12.6|18.4|37|42|48|1|1.8|3.5|20|32.5|40|3|9.5|15|0|8|15|".49"|".49"|0|0|0|0|0|0|0|0|0|0|0|2|7|13|21||||3|9|19|5.6|6.5|7.3||||||||||0.3|4|9.4|||||||||||||||||||||"22552834"|"66692607"
"Bt1"||"B"||1|5|15|24|20|33|46|10|18|25|0|0|0|0|0|0|100|100|100|100|100|100|90|95|100|75|83|90|5|18|20|0|0|3|0|3|5|0|7|10|0|6|10|0|2|8|50|56|67|38|38|45|12|18|22|24|26|30|0|0|0|0.5|0.75|1||||1.4|1.5|1.6||||1.61|1.71|1.78|2.66|4.23|9.17|14.11|0.16|0.18|0.2||||29.8|30.8|32.5|15.1|16.6|19.3|37|41|44|2.1|2.9|4.1|25|40|55|5|15.5|35|2|13|34|".37"|".37"|0|0|0|0|0|0|0|0|0|0|0|2|11|15.5|20||||5|9|18|5.6|6.1|7.3||||||||||0.7|5.3|7.9|||||||||||||||||||||"22552834"|"66692608"
"3Bt4"|3|"B"||4|94|107|130|114|122|140|8|15|30|0|0|0|0|1|1|95|97.5|100|90|95|100|80|82|95|55|59|70|30|40|52|0|2|4|2|4|6|11|16|20|8|13|18|4|5|8|28|38|50|13|18|20|15|20|30|18|22|25|0|0|0|0.5|0.75|1||||1.5|1.6|1.7||||1.58|1.68|1.75|2.67|1.41|2.82|4.23|0.17|0.19|0.19||||25.8|28.8|31.4|11.4|14.6|17.4|31|36|41|1.4|1.8|2.5|20|30|40|5|15|25|0|6|15|".37"|".37"|0|12|25|0|0|0|0|0|0|0|0|2|9.6|11.7|13.4||||6|11|15|6.6|7.4|7.8||||||||||0|0.8|3.6|||||||||||||||||||||"22552834"|"66692609"
"3Cd"|3|"C"|||114|122|140|152|200|200|38|78|86|0|1|1|0|2|3|90|95|100|85|92|98|65|78|90|40|58|70|35|40|51|0|2|8|2|4|10|8|16|20|5|13|18|1|5|10|31|42|50|9|12|14|22|30|36|15|18|22|0|0|0|0|0.25|0.5||||1.75|1.8|2||||1.84|1.89|2.09|2.68|0.07|0.216|1.41|0.02|0.03|0.04||||19.1|26.4|30.4|9.4|12.4|16.4|20|28|32|1|1.4|2.2|15|22.5|30|3|7.5|15|0|2|8|".43"|".43"|15|30|40|0|0|0|0|0|0|0|0|2|6|10|14||||5|9|13|7.4|8|8.4||||||||||0|0|1.1|||||||||||||||||||||"22552834"|"66692610"
"2Bt2"|2|"B"||2|20|33|46|50|76|90|25|43|60|0|0|0|0|1|1|85|92.5|100|75|87|98|55|73|90|40|52|65|30|40|60|0|1|5|2|4|10|8|18|22|5|12|15|1|5|10|15|35|50|9|15|20|6|20|30|20|25|30|0|0|0|0.5|0.75|1||||1.4|1.5|1.6||||1.63|1.73|1.81|2.66|4.23|9.17|14.11|0.17|0.18|0.19||||23.4|27.9|32.2|10.6|14.7|19.1|31|37|44|0.9|1.5|2.4|20|40|60|5|17.5|30|0|6|19|".28"|".28"|0|0|0|0|0|0|0|0|0|0|0|2||||5.9|7.9|10.3|2.7|6.7|10.1|4.5|5|6||||||||||2.4|8.3|11.9|||||||||||||||||||||"22552834"|"66692611"
"2Bt3"|2|"B"||3|50|76|90|94|107|130|15|31|44|0|0|0|0|1|1|85|92.5|100|75|87|98|45|74|90|20|54|60|30|40|60|0|1|5|2|4|10|8|18|22|5|12|15|1|5|10|15|35|50|9|15|20|6|20|30|20|25|30|0|0|0|0.5|0.75|1||||1.4|1.5|1.6||||1.63|1.73|1.81|2.66|4.23|9.17|14.11|0.14|0.16|0.18||||23.4|27.9|32.2|10.6|14.7|19.1|31|37|44|0.9|1.5|2.4|20|40|60|5|17.5|20|0|7|12|".37"|".37"|0|0|0|0|0|0|0|0|0|0|0|2||||5.9|7.9|10.3|4.3|7.6|10.1|5.1|5.5|6||||||||||2.4|6|9.1|||||||||||||||||||||"22552834"|"66692612"
"2BCt"|2|"BC"|||50|79|110|80|91|120|4|12|30|0|0|0|0|1|4|91|97|98|81|92|96|70|85|92|49|62|68|35|38|55|0|2.1|4|0|3|6|4|10|14|8|14|15|5|8.9|12|30|40|45|19|25|28|11|15|17|15|22|25|0|0|0|0|0.25|0.5||||1.6|1.7|1.8||||1.68|1.78|1.85|2.68|1.41|2.82|4.23|0.07|0.12|0.17||||21.9|28.2|30.8|8.6|14.4|17.3|26|33|37|1.1|1.8|2.4|25|32|36|9|14|17|1|6|10|".43"|".43"|0|12|20|0|0|0|0|0|0|0|0|2|7.6|11.5|13.2||||7.1|50.2|52.2|6.6|7.9|8.4||||||||||0|0|3.2|||||||||||||||||||||"22552835"|"66692613"
"2Cd"|2|"C"|||80|91|120|200|200|200|80|109|120|0|0|0|0|2|4|92|97|98|83|94|96|69|84|91|44|56|63|35|45|60|0|4|8|1|4|8|4|10|14|10|19|22|5|8|12|30|40|50|18|24|30|12|16|20|10|15|20|0|0|0|0|0.25|0.5||||1.75|1.85|2||||1.83|1.93|2.02|2.68|0.07|0.216|1.41|0.01|0.02|0.03||||15.1|25.6|29.3|6.3|10.9|15.2|20|28|32|0.6|1.1|1.4|21|26|31|6|10|13|0|3|6|".49"|".49"|20|30|45|0|0|0|0|0|0|0|0|2|5.1|7.9|10.6||||43.8|46.6|49.6|7.4|8.2|8.4||||||||||0|0|0.4|||||||||||||||||||||"22552835"|"66692614"
"Ap"||"A"|||0|0|0|8|17|24|8|17|24|0|0|0|0|0|0|100|100|100|100|100|100|89|96|100|75|84|92|9.1|18|36.8|0|1|4|0|2|4|2|4.6|8|3|6|8|0|4.4|6|51.3|64|78.1|30|37|45|21|27|33|7|18|26|0|0|0|1|2|3||||1.3|1.45|1.6||||1.37|1.52|1.67|2.64|4.23|9.17|14.11|0.2|0.22|0.24||||20.8|28.4|32.3|5.5|13.1|19|37|43|48|0.4|1.5|2.8|20|32|42|3|11|18|0|9|18|".43"|".43"|0|0|0|0|0|0|0|0|0|0|0|2|3.8|9.8|14.1||||2.4|7.9|14.1|5.6|5.9|7.3||||||||||0|5.6|8|||||||||||||||||||||"22552835"|"66692615"
